FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Ben Simmons,Phi,F,23.64,54,35.8,74.5,20.9,20.5,284,0.627,612,0.587,6,0.333,0.586,0.607,16.7,7.9,12.1,8.2,34.8,2.15,0.59,3.56,11.5,115.8,100.3
Bismack Biyombo,Cha,C,27.54,53,19.4,40.5,16.8,12.2,151,0.603,278,0.543,0,0,0.543,0.57,7.4,5.8,16.3,0.9,7.8,0.19,0.92,0.91,7,115.1,103.3
BJ Johnson,Orl,F,24.22,8,5.8,12,20.5,13.7,2,1,12,0.333,6,0.167,0.306,0.344,1.6,0.8,7,0.3,6.1,0.25,0,0.38,5,69.1,112.9
Blake Griffin,Det,F,30.99,18,28.5,59.3,28.4,12,98,0.776,139,0.439,111,0.243,0.406,0.476,15.5,4.7,9.3,3.3,18,0.39,0.39,2.22,8.7,97.1,111.8
Boban Marjanovic,Dal,C,31.57,35,9.6,20.1,27.9,12.3,47,0.766,157,0.586,15,0.267,0.57,0.602,6.6,4.4,23.8,0.4,6.7,0.2,0.2,0.77,9.4,115.4,95
Bobby Portis,Nyk,F,25.08,66,21.1,44,21.4,10.4,93,0.763,402,0.493,187,0.358,0.507,0.53,10.1,5.1,12.9,1.5,11.1,0.5,0.27,1.11,8.1,106.2,107.6
Bogdan Bogdanovic,Sac,G,27.56,53,28.5,59.4,22.3,11.4,105,0.724,259,0.541,380,0.361,0.541,0.56,14.5,3.2,6.4,3.2,17.2,1.04,0.26,1.66,7.4,108.1,108
Bojan Bogdanovic,Uta,F,30.9,63,33.1,68.9,25.7,13.1,277,0.903,478,0.479,457,0.414,0.548,0.603,20.2,4.1,6.8,2.1,10,0.54,0.11,2.54,6.7,110.6,108.2
Brad Wanamaker,Bos,G,30.63,63,19.3,40.2,15.4,15.9,116,0.931,228,0.452,90,0.367,0.48,0.56,6.6,2,5.5,2.5,17.6,0.81,0.21,1.11,6.6,111.9,101.6
Bradley Beal,Was,G,26.7,57,36,75,34.5,11.5,458,0.843,822,0.515,481,0.353,0.52,0.579,30.6,4.2,6.5,6.1,29.1,1.26,0.4,3.42,10.2,112.8,114.3
Brandon Clarke,Mem,F-G,23.48,50,21.7,45.3,18.9,9.3,93,0.785,354,0.658,52,0.404,0.651,0.673,12,5.8,14,1.4,10.1,0.54,0.84,0.92,8.5,128.3,105.8
Brandon Goodwin,Atl,G,24.44,34,12.7,26.4,22.4,12.5,30,0.933,103,0.485,87,0.299,0.468,0.507,6.1,2.1,9,1.5,18,0.35,0.12,0.85,8.4,100.4,108.9
Brandon Ingram,Nor,F,22.52,56,34.3,71.4,28.2,13.1,330,0.858,652,0.509,354,0.387,0.534,0.59,24.3,6.2,9.6,4.3,19.8,1,0.64,3.09,10.1,111.9,106.5
Brandon Knight,Cle,G,28.28,16,15.1,31.4,19.1,14.9,13,0.308,22,0.409,64,0.297,0.436,0.431,4.9,1.3,4.6,1.9,17.9,0.31,0.13,1,6.1,89.3,111.6
Brandon Knight,Det,G,28.28,9,24.6,51.2,22.2,19.6,21,0.762,14,0.357,67,0.388,0.543,0.576,11.6,2.3,5.4,4.2,25.6,0.56,0.11,2.44,7.8,105.7,108.2
Brian Bowen II,Ind,F-G,21.44,5,5.8,12,15.3,10,0,0,7,0.286,2,0,0.222,0.222,0.8,1.4,13.4,0,0,0,0.2,0.2,0,49.5,104.8
Brook Lopez,Mil,C,31.94,61,26.6,55.4,17.5,9.2,121,0.81,287,0.557,284,0.296,0.501,0.537,11,4.5,8.3,1.6,7.8,0.7,2.44,1.03,6.5,106.1,96.5
Bruce Brown,Det,G-F,23.57,58,28.2,58.7,16,16.8,119,0.739,351,0.47,96,0.344,0.48,0.518,8.9,4.7,9.5,4,20.4,1.09,0.5,1.74,7.8,105.8,105.2
Bruno Caboclo,Mem,F,24.47,22,8.7,18.2,16.8,9.1,3,0.667,44,0.545,25,0.16,0.435,0.441,2.8,2,12,0.5,7,0.45,0.55,0.32,6.5,96.6,100.9
Bruno Caboclo,Hou,F,24.47,5,5.5,11.5,16.2,18.4,2,1,5,0.8,3,0,0.5,0.563,2,1.8,17,0.4,10.2,0.4,0.8,0.4,8.2,118.1,103.9
Bruno Fernando,Atl,F-C,21.57,56,12.7,26.5,15.3,15.9,51,0.569,162,0.605,37,0.135,0.53,0.542,4.3,3.5,15,0.9,9.9,0.32,0.3,0.75,7.5,106.6,102.4
Bryn Forbes,San,G,26.64,63,25.1,52.2,18.6,8.4,90,0.833,200,0.47,381,0.388,0.544,0.57,11.2,2,4.3,1.7,9.6,0.52,0,0.9,5.4,109.3,111.9
Buddy Hield,Sac,G,26.23,64,32,66.6,27.1,11.8,131,0.855,445,0.476,618,0.395,0.544,0.566,19.8,4.8,8.5,3.1,15.8,0.95,0.27,2.34,8.3,106.9,108.2
Caleb Martin,Cha,F,24.45,18,17.6,36.7,15,13.9,21,0.81,47,0.362,37,0.541,0.56,0.595,6.2,2.1,6.6,1.3,11.1,0.67,0.39,0.83,5.8,112.8,105.9
Caleb Swanigan,Sac,F,22.9,7,3.3,6.8,20.8,55.1,2,0.5,4,0.5,0,0,0.5,0.512,0.7,1,17.3,0.3,11.8,0.14,0.29,0.86,7.2,,
Caleb Swanigan,Por,F,22.9,20,13.3,27.6,12.9,38.5,15,0.533,41,0.634,2,0,0.605,0.605,3,4.7,18.2,1.5,14.2,0.1,0.25,1.55,8.3,98,93.5
Cam Reddish,Atl,F-G,20.53,58,26.7,55.7,18.9,13.5,126,0.802,304,0.428,250,0.332,0.459,0.5,10.5,3.7,7.5,1.5,8,1.07,0.48,1.64,5.8,94.6,110.5
Cameron Johnson,Pho,F,24.02,49,20.3,42.3,16,7.7,46,0.761,96,0.469,229,0.397,0.558,0.576,8.1,2.9,7.8,1.1,7.4,0.59,0.33,0.59,5.8,113.3,108.6
Caris LeVert,Bro,G,25.55,39,29,60.4,28.8,12.6,161,0.72,420,0.429,189,0.381,0.473,0.509,17.7,4.1,7.2,4.1,23.5,1.13,0.18,2.51,9.2,101.2,105.8
Carmelo Anthony,Por,F,35.78,50,32.5,67.6,21.6,10.5,134,0.843,485,0.447,194,0.371,0.479,0.517,15.3,6.3,10,1.6,7,0.8,0.46,1.74,6.6,102,108.7
Carsen Edwards,Bos,G,22,35,9,18.8,18.1,11.2,13,0.846,45,0.356,68,0.309,0.42,0.446,3,1.2,7.3,0.6,9.5,0.29,0.09,0.43,5.7,92,100.7
Cedi Osman,Cle,F,24.93,65,29.4,61.2,16.6,12.3,94,0.67,288,0.497,321,0.383,0.538,0.552,11,3.6,6.7,2.4,11.6,0.83,0.25,1.4,6.2,107.3,110.3
Chandler Hutchison,Chi,F-G,23.87,28,18.8,39.2,19.1,11.4,78,0.59,137,0.496,38,0.316,0.491,0.521,7.8,3.9,11.3,0.9,7.4,0.96,0.25,0.96,6.4,100.8,103.3
Chandler Parsons,Atl,F,31.38,5,10.8,22.6,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,7,0.6,7.4,0.8,0.2,0.6,4.9,76.7,111.9
Charles Brown Jr.,Atl,G,22.1,10,4.1,8.4,24.8,12.4,5,1,10,0.3,9,0.333,0.395,0.472,2,0.4,5.3,0.2,7.2,0.2,0.2,0.3,5.3,92.9,113
Chasson Randle,Gol,G,27.1,3,13.5,28.1,7,0,6,0.833,2,0,2,0,0,0.377,1.7,0.7,2.7,1.7,15.5,0.67,0,0,3.7,112.8,111
Cheick Diallo,Pho,F-C,23.49,44,10.6,22.1,16.7,16.4,37,0.865,135,0.652,2,0.5,0.653,0.688,4.8,2.9,15.1,0.5,7.2,0.23,0.27,0.68,7.2,119.2,101.7
Chimezie Metu,San,F-C,22.97,16,4.5,9.4,26.1,11.5,8,0.75,34,0.588,1,0,0.571,0.597,2.9,1.6,19.3,0.4,14,0.06,0.25,0.31,10.9,117.3,110.2
Chris Boucher,Tor,F-C,27.16,55,13.2,27.4,19.4,7,103,0.796,161,0.565,99,0.283,0.512,0.57,6.3,4.4,17.7,0.4,4.7,0.38,0.98,0.42,6.8,121.7,92.2
Chris Chiozza,Was,G,24.31,10,12.3,25.5,14.6,20.9,0,0,18,0.167,16,0.438,0.397,0.397,2.7,1.5,6.7,2.8,29,1,0.2,0.9,7.3,91.2,106.9
Chris Chiozza,Bro,G,24.31,11,11.4,23.8,17.9,14.8,2,1,20,0.55,25,0.44,0.611,0.621,5.2,1.8,8.2,1.8,24.5,0.45,0,0.73,9,120.5,103
Chris Clemons,Hou,G,22.64,29,8.7,18,24,11.6,7,0.857,32,0.563,94,0.351,0.536,0.546,4.9,0.8,4.8,0.8,13.5,0.17,0.14,0.59,6.7,103.5,108.2
Chris Paul,Okc,G,34.85,63,31.8,66.3,23.2,13,250,0.9,526,0.557,279,0.362,0.552,0.609,17.7,5,8.6,6.8,33.4,1.56,0.14,2.17,10.6,121.1,103.6
Chris Silva,Mia,F,23.48,41,7.5,15.6,17.6,26.1,49,0.694,67,0.642,2,0,0.623,0.663,2.9,2.7,19.9,0.5,10.2,0.2,0.44,0.78,8.4,118.7,83.4
Christian Wood,Det,F,24.46,62,21.4,44.5,23,12,243,0.745,368,0.636,140,0.386,0.62,0.659,13.1,6.3,16.7,1,7.6,0.55,0.89,1.35,8.1,122.2,106.3
CJ McCollum,Por,G,28.48,62,36,74.9,26.7,8.3,164,0.75,754,0.497,458,0.38,0.525,0.543,22.5,4.1,5.9,4.3,19.3,0.74,0.63,1.87,8.2,110.5,112.6
CJ Miles,Was,G,32.98,10,16.1,33.5,18.6,5.6,20,0.75,24,0.333,35,0.314,0.415,0.472,6.4,1.2,4.1,1.2,9.9,1,0.4,0.4,5.2,102.9,111.2
Clint Capela,Hou,C,25.82,39,32.8,68.3,16,12.7,104,0.529,388,0.629,0,0,0.629,0.626,13.9,13.8,22,1.2,5.7,0.87,1.79,1.62,7.5,123.4,101.8
Coby White,Chi,G,20.07,65,25.8,53.7,24.4,11.4,129,0.791,416,0.43,376,0.354,0.478,0.506,13.2,3.6,7.6,2.7,16.6,0.75,0.09,1.68,7.8,99.8,108.3
Cody Martin,Cha,F,24.45,48,18.8,39.2,13.6,15.7,65,0.646,130,0.546,77,0.234,0.473,0.505,5,3.3,9.6,2,15.8,0.81,0.19,0.92,6.8,104.3,105.9
Cody Zeller,Cha,C,27.43,58,23.1,48.2,20.8,11.8,179,0.682,405,0.575,75,0.24,0.542,0.574,11.1,7.1,16.8,1.5,11.3,0.69,0.43,1.29,8.5,114.9,103
Collin Sexton,Cle,G,21.18,65,33,68.7,27.2,11.6,267,0.846,832,0.5,255,0.38,0.517,0.56,20.8,3.2,5.3,3,15.1,1.02,0.11,2.43,7.1,108.1,112.9
Cory Joseph,Sac,G,28.56,64,24,50.1,13,14,58,0.828,235,0.46,134,0.351,0.484,0.513,6.3,2.5,6,3.4,19.4,0.72,0.33,1,6.3,110.6,108.6
Courtney Lee,Dal,G,34.44,24,14.4,30,11.9,11.4,7,0.857,35,0.543,47,0.447,0.616,0.629,4.5,1.3,4.8,0.5,4.7,0.75,0.25,0.46,4,116.1,104.1
Cristiano Felicio,Chi,F-C,27.68,22,17.5,36.5,9.1,21.9,23,0.783,52,0.654,2,0,0.63,0.671,3.9,4.6,14.6,0.7,5.7,0.45,0.09,0.82,5.3,128.1,106.4
D.J. Augustin,Orl,G,32.34,49,24.8,51.7,19,12.9,157,0.885,223,0.43,174,0.345,0.469,0.548,10.4,2.2,4.8,4.6,26.7,0.59,0.02,1.41,7.6,114,110.2
D.J. Wilson,Mil,F-C,24.06,31,9,18.8,17.7,12.5,9,0.667,46,0.565,55,0.255,0.465,0.476,3.2,2.2,12,0.7,10.3,0.06,0.16,0.48,7.6,95.1,96
D'Angelo Russell,Gol,G,24.05,33,32.1,66.9,32.2,12.6,144,0.785,314,0.487,321,0.374,0.524,0.558,23.6,3.7,6.2,6.2,35.9,0.91,0.27,3.06,10.2,106.3,112.3
D'Angelo Russell,Min,G,24.05,12,32.6,68,29.5,16.7,55,0.873,100,0.49,110,0.345,0.505,0.555,21.7,4.6,7.4,6.6,33.1,1.42,0.33,3.92,10.7,104.7,110.2
Damian Jones,Atl,C,24.7,55,16.1,33.6,11.4,11.5,84,0.738,169,0.704,9,0.222,0.685,0.712,5.6,3.7,12.5,0.6,5.6,0.47,0.73,0.51,5.8,136.7,101.2
Damian Lillard,Por,G,29.66,58,36.9,76.9,30.2,11,438,0.888,588,0.519,573,0.394,0.555,0.619,28.9,4.3,6.1,7.8,34.1,1.02,0.36,2.9,10.7,124.5,114.9
Damion Lee,Gol,G-F,27.39,49,29,60.5,19,10.6,126,0.873,272,0.471,239,0.356,0.5,0.548,12.7,4.9,9.1,2.7,14.4,1.02,0.12,1.37,7.6,107.6,108.4
Damyean Dotson,Nyk,G,25.85,48,17.4,36.3,16.5,6.5,33,0.667,127,0.48,163,0.362,0.516,0.527,6.7,1.9,5.8,1.2,10,0.48,0.08,0.44,5.7,109.1,112.8
Daniel Gafford,Chi,F-C,21.44,43,14.2,29.5,13.3,15.3,60,0.533,134,0.701,0,0,0.701,0.686,5.1,2.5,9.6,0.5,5.2,0.3,1.3,0.67,5.2,123.4,99.2
Daniel Theis,Bos,F,27.94,58,23.8,49.7,14.7,10.1,106,0.764,301,0.631,81,0.321,0.599,0.629,9.3,6.5,14.7,1.6,9.9,0.6,1.29,0.83,7.7,129,94.5
Danilo Gallinari,Okc,F,31.59,55,30.7,64,24.4,7.5,264,0.886,346,0.474,403,0.409,0.549,0.611,19.2,5.5,9.8,2.1,10.5,0.73,0.07,1.27,7.9,119.5,107.8
Danny Green,Lal,G,32.72,61,25.1,52.2,13.8,10.8,44,0.727,126,0.516,299,0.378,0.552,0.564,8.2,3.4,7.4,1.4,7.3,1.23,0.46,0.89,5.4,110.4,101.2
Dante Exum,Uta,G,24.66,11,7.6,15.8,17.9,29.5,2,1,17,0.471,6,0.333,0.478,0.503,2.2,1.1,7.9,0.6,11.8,0.09,0.18,0.91,6,83.1,103.7
Dante Exum,Cle,G,24.66,24,16.8,34.9,14.4,15.6,41,0.732,59,0.559,37,0.351,0.547,0.592,5.6,2.3,7.7,1.4,11.4,0.46,0.25,0.88,6.2,112.2,110.9
Danuel House Jr.,Hou,F-G,26.76,58,30,62.5,13.5,8.6,85,0.8,171,0.544,311,0.363,0.545,0.571,10.2,4.2,7.4,1.3,6.1,1.1,0.55,0.84,5.1,115,107.5
DaQuan Jeffries,Sac,G-F,22.53,6,3.2,6.7,15.7,0,0,0,3,0.667,4,0.25,0.5,0.5,1.2,0.2,2.9,0.2,7.6,0.17,0,0,4.5,,
Dario Saric,Pho,F,25.93,58,24.9,51.8,17.2,12.3,95,0.832,256,0.563,214,0.341,0.539,0.572,10.1,5.9,13.3,1.9,10.9,0.59,0.26,1.24,7.8,111.8,105
Darius Bazley,Okc,F-G,19.75,53,17.2,35.7,14.1,13.8,47,0.681,130,0.446,100,0.3,0.448,0.475,4.5,3.7,12,0.5,4.3,0.38,0.66,0.75,4.7,90.2,105.8
Darius Garland,Cle,G,20.12,59,30.9,64.4,20.6,17.1,72,0.875,402,0.435,296,0.355,0.476,0.499,12.3,1.9,3.3,3.9,18.5,0.69,0.07,2.54,5.8,95.8,115.7
Daryl Macon,Mia,G,24.28,4,3.5,7.3,15.6,40,0,0,1,0,2,0.5,0.5,0.5,0.8,0,0,0.3,9.5,0,0,0.5,0,,
David Nwaba,Bro,G-F,27.16,20,13.4,28,14.2,8.8,27,0.667,43,0.581,28,0.429,0.606,0.627,5.2,2.3,8.6,0.4,4.4,0.55,0.6,0.4,5,119.7,98.7
Davis Bertans,Was,F,27.33,54,29.3,61.1,19,8.2,122,0.852,138,0.471,472,0.424,0.598,0.628,15.4,4.5,8.5,1.7,8.3,0.69,0.61,1.09,6.7,119.7,111.1
De'Aaron Fox,Sac,G,22.23,45,31.7,66,29.6,14.7,306,0.703,539,0.523,153,0.307,0.509,0.556,20.4,4,7.1,6.7,35.3,1.42,0.51,3.16,10.3,109.9,105.6
De'Andre Hunter,Atl,F-G,22.28,63,32,66.7,17.5,12.1,144,0.764,379,0.454,304,0.355,0.489,0.521,12.3,4.5,7.6,1.8,7.9,0.7,0.29,1.63,5.8,99.2,110.9
De'Anthony Melton,Mem,G,21.79,52,19.4,40.5,19.7,16.3,106,0.821,236,0.47,117,0.316,0.472,0.525,8.1,3.7,10,3,20.9,1.25,0.35,1.5,9.2,104.7,103
Dean Wade,Cle,F-C,23.31,12,6,12.4,9.8,18.2,1,0,9,0.778,4,0.5,0.769,0.744,1.7,1.6,14.8,0.2,4,0.17,0.33,0.25,5.4,121.4,104
Deandre Ayton,Pho,C,21.64,30,33.2,69.2,24.3,12.4,78,0.769,462,0.552,3,0,0.548,0.571,19,12,20.1,1.9,9.7,0.7,1.7,2.37,9.1,109.3,102.9
DeAndre Jordan,Bro,C,31.64,56,22,45.9,14.1,17.8,122,0.68,287,0.666,0,0,0.666,0.682,8.3,10,23.4,1.9,12.8,0.32,0.93,1.32,9.8,127.2,97.5
DeAndre' Bembry,Atl,G-F,25.69,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.2,1.28,0.44,1.4,6.3,94.5,108.2
Dejounte Murray,San,G,23.48,58,25,52,20.6,15.7,94,0.798,447,0.494,90,0.378,0.507,0.535,10.7,5.8,12.5,4.1,23.7,1.72,0.28,1.86,10.1,106.5,104
Delon Wright,Dal,G,27.87,65,21.7,45.3,14.8,13.9,90,0.789,264,0.508,118,0.381,0.527,0.562,7.3,4,9.6,3.4,21.2,1.15,0.32,1.05,8.5,120.1,106.2
DeMar DeRozan,San,F,30.6,61,34.3,71.4,26.6,11.5,400,0.843,926,0.535,30,0.267,0.53,0.597,22.1,5.7,8.9,5.6,26,1.02,0.23,2.41,10.4,117.2,108.7
DeMarre Carroll,San,F,33.63,15,9,18.8,15.4,20.9,20,0.6,16,0.375,13,0.231,0.362,0.437,2.2,2.1,12.4,0.7,10.2,0.13,0.13,0.67,6.6,88.1,101.2
DeMarre Carroll,Hou,F,33.63,6,16,33.2,16.4,15.8,16,0.75,11,0.727,14,0.286,0.56,0.624,6.7,2.7,8.8,1.2,10.1,0.33,0.33,1,7,117.7,106.4
Dennis Schroder,Okc,G,26.49,63,31,64.5,27.2,13.2,230,0.839,625,0.512,320,0.381,0.532,0.573,19,3.7,6.6,4.1,21.6,0.7,0.22,2.52,8.5,107.8,105.9
Dennis Smith Jr.,Nyk,G,22.29,34,15.8,32.9,23.1,19.8,53,0.509,157,0.357,54,0.296,0.379,0.399,5.5,2.3,7.7,2.9,26.3,0.82,0.24,1.71,8.4,83.8,103.1
Denzel Valentine,Chi,G,26.32,36,13.6,28.2,23.3,9.8,8,0.75,100,0.51,137,0.336,0.506,0.511,6.8,2.1,8.4,1.2,14.2,0.72,0.17,0.72,7.6,99.9,102.5
Deonte Burton,Okc,G-F,26.11,34,8.4,17.4,19.3,11.3,12,0.5,59,0.492,46,0.217,0.419,0.426,2.8,1.4,9.4,0.3,5.6,0.12,0.29,0.41,5,82.6,102.4
Derrick Favors,Nor,F,28.66,45,24.2,50.4,14.3,13.3,62,0.581,297,0.633,7,0.143,0.623,0.626,9.2,9.8,21.4,1.7,9.8,0.56,0.98,1.13,8.8,124.7,103.2
Derrick Jones Jr.,Mia,F,23.07,51,24.5,51,14.1,6.8,113,0.779,197,0.67,126,0.27,0.567,0.609,8.9,4.2,9.6,1.1,6.7,1.08,0.69,0.53,5.6,124.2,102.5
Derrick Rose,Det,G,31.43,50,26,54.1,31.6,13.4,139,0.871,606,0.535,147,0.306,0.52,0.555,18.1,2.4,5.3,5.6,40.5,0.8,0.34,2.52,9.6,109.2,114
Derrick Walton Jr.,Lac,G,24.95,23,9.6,20.1,8.2,9.1,9,0.778,15,0.533,21,0.429,0.597,0.626,2.2,0.7,3.5,1,12.6,0.17,0,0.17,4.8,132.3,105.1
Derrick Walton Jr.,Det,G,24.95,3,8.8,18.3,6.6,25,0,0,0,0,3,0.333,0.5,0.5,1,0.3,2.1,1.7,24.4,1,0,0.33,3.6,117,105.8
Derrick White,San,G,25.69,61,24.1,50.1,18.2,12.2,175,0.857,304,0.513,160,0.356,0.52,0.585,10.4,3.1,7,3.4,19.5,0.66,0.89,1.23,7.9,116.8,108.3
Devin Booker,Pho,G,23.36,62,36.1,75.3,29.5,15.7,442,0.916,768,0.544,350,0.36,0.543,0.617,26.1,4.1,6.4,6.6,30.2,0.71,0.26,3.94,9.9,114.1,108
Devon Hall,Okc,G,24.68,5,3.9,8.2,17.4,12.9,4,0.75,3,0.333,2,0,0.2,0.37,1,0.2,2.8,0.6,19.4,0,0,0.2,5.1,,
Devonte' Graham,Cha,G,25.05,63,35.1,73.1,24.8,14.5,233,0.82,378,0.397,585,0.373,0.495,0.537,18.2,3.3,5.2,7.5,35.4,0.98,0.24,2.87,8.7,109.2,112.4
Dewan Hernandez,Tor,C-F,23.25,4,2.9,5.9,25.8,14.5,2,1,4,0.25,1,0,0.2,0.34,1,1.8,32.4,0,0,0.25,0,0.25,0,,
Dewayne Dedmon,Sac,C,30.58,34,15.9,33.1,18.6,20.4,28,0.821,100,0.55,71,0.197,0.444,0.477,5.1,4.9,17.4,0.4,3.9,0.44,0.76,1.38,5.4,88.3,94.2
Dewayne Dedmon,Atl,C,30.58,10,23.3,48.6,17.4,10.3,8,0.875,48,0.521,36,0.222,0.44,0.463,8.1,8.2,18.9,0.7,4.3,1,1.5,1,6.2,93.4,95.8
Dillon Brooks,Mem,G-F,24.13,65,28.5,59.3,24.9,9.7,178,0.809,565,0.425,359,0.368,0.474,0.509,15.7,3.3,6,2,10,0.88,0.38,1.66,6.6,100,102.5
Dion Waiters,Mia,G,28.25,3,14,29.2,30.8,10.2,1,0,9,0.222,17,0.471,0.538,0.53,9.3,3.7,14.7,1,12.4,0,0.67,1,9.3,93.3,98.7
Domantas Sabonis,Ind,F-C,23.86,62,34.8,72.5,23.4,14.9,296,0.723,780,0.565,67,0.254,0.551,0.587,18.5,12.4,19.7,5,21.7,0.73,0.48,2.76,12,115.1,99.4
Donovan Mitchell,Uta,G,23.51,63,34.4,71.6,31,10.9,290,0.859,807,0.501,428,0.364,0.517,0.56,24.2,4.4,7,4.2,21.2,1.05,0.19,2.65,8.9,109.6,105.3
Donta Hall,Det,F,22.6,4,12,24.9,7.9,23.1,6,0.667,4,0.25,0,0,0.25,0.452,1.5,3.8,17.8,0.5,5.3,0.25,0.25,0.5,4.7,109.5,95
Donte DiVincenzo,Mil,G,23.11,59,23.1,48.1,16.9,12.9,78,0.769,231,0.576,221,0.344,0.546,0.57,9.4,4.9,10.5,2.3,13.3,1.37,0.32,1.22,8.2,111.6,95.9
Dorian Finney-Smith,Dal,F,26.86,64,29.7,61.8,12.7,11.2,97,0.722,192,0.599,265,0.374,0.577,0.597,9.3,5.5,9.7,1.5,6.8,0.69,0.58,0.98,5.7,120.7,106
Doug McDermott,Ind,F,28.19,62,20,41.7,19.6,7.2,52,0.827,226,0.544,265,0.445,0.611,0.626,10.4,2.5,6.9,1.1,8.3,0.15,0.08,0.65,6.1,117.6,105.7
Dragan Bender,Mil,F,22.32,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.5,0,0.71,0.71,7.4,104.9,87.5
Dragan Bender,Gol,F,22.32,9,21.6,45.1,20.1,17.4,11,0.727,37,0.541,34,0.324,0.514,0.534,9,5.9,14.7,2.1,15.3,0.44,0.44,1.78,8.9,100.5,102.4
Draymond Green,Gol,F,30.02,43,28.4,59.2,15.7,21.8,83,0.759,186,0.468,129,0.279,0.448,0.491,8,6.2,11.8,6.2,31.2,1.37,0.77,2.28,9.5,100.2,105.2
Drew Eubanks,San,F-C,23.11,14,9.3,19.4,14.3,23.3,11,0.727,27,0.741,1,1,0.768,0.776,3.6,2.5,14.5,0.4,5.4,0.14,0.43,0.71,6.6,121.4,99
Duncan Robinson,Mia,F,25.89,65,30,62.5,15.7,8.5,53,0.906,70,0.614,543,0.448,0.665,0.678,13.3,3.3,6.1,1.4,7,0.54,0.23,0.91,5.3,121.7,104.8
Dusty Hannahs,Mem,G,26.52,2,6.7,14,30.7,0,2,1,6,0.333,3,0.667,0.556,0.607,6,0.5,3.9,0,0,0,0,0,0,120.3,111
Dwayne Bacon,Cha,G-F,24.53,39,17.6,36.7,19.5,12.2,53,0.66,177,0.373,67,0.284,0.387,0.419,5.7,2.6,8,1.3,11.7,0.59,0.05,0.95,6.1,86.1,107.9
Dwight Howard,Lal,C-F,34.26,62,19.2,40.1,14.5,18,180,0.494,252,0.734,5,0.6,0.737,0.696,7.5,7.4,20.9,0.7,4.8,0.45,1.23,1.19,7.1,124.2,89.8
Dwight Powell,Dal,F-C,28.64,40,26.5,55.2,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.2,1.5,7.7,0.88,0.53,0.93,6.5,132.3,103.1
Dzanan Musa,Bro,G-F,20.84,35,11.6,24.1,19.4,15.5,44,0.75,74,0.473,65,0.231,0.414,0.467,4.2,2,9,0.9,11,0.37,0.03,0.83,6.8,93,105.7
E'Twaun Moore,Nor,G,31.04,51,18.8,39.1,19.9,8.1,43,0.674,250,0.456,160,0.375,0.498,0.509,8.6,2.4,6.8,1.4,10.9,0.55,0.2,0.75,6.5,103.4,108.4
Ed Davis,Uta,F,30.77,25,10.7,22.3,8.5,25.1,11,0.455,34,0.412,0,0,0.412,0.425,1.3,3.8,19.4,0.3,3.8,0.4,0.36,0.52,4.3,97.6,86.6
Edmond Sumner,Ind,G,24.2,25,13.8,28.8,17.3,13.3,15,0.667,73,0.507,38,0.263,0.468,0.485,4.6,1.4,5.7,1.6,15.3,0.6,0.32,0.72,6.3,98.3,102.5
Elfrid Payton,Nyk,G,26.05,45,27.7,57.7,19.5,16.6,86,0.57,371,0.482,69,0.203,0.455,0.47,10,4.7,9,7.2,38.6,1.58,0.38,2.11,10.1,104.4,107.8
Elie Okobo,Pho,F-G,22.38,54,13.1,27.3,14.9,15.3,67,0.687,110,0.427,71,0.352,0.467,0.511,4,1.6,6.9,2.1,21.5,0.46,0.07,0.7,7.3,107.1,107.9
Emmanuel Mudiay,Uta,G,24.02,48,15.7,32.6,22.4,17,69,0.754,212,0.514,76,0.355,0.519,0.551,7.3,2.4,8.4,2.2,21.8,0.4,0.21,1.35,8.6,104.9,103.5
Enes Kanter,Bos,C,27.81,51,17.5,36.4,19.3,12.9,89,0.708,304,0.576,7,0.143,0.568,0.594,8.2,7.7,23.7,1,8.4,0.43,0.75,1.02,9.1,120.3,97
Eric Bledsoe,Mil,G,30.26,56,27.2,56.7,24.1,15.8,193,0.813,462,0.539,201,0.348,0.534,0.578,15.4,4.7,8.5,5.4,28.5,0.93,0.45,2.5,10.8,112.1,97.3
Eric Gordon,Hou,G,31.21,34,28.6,59.6,22.1,6.9,103,0.757,150,0.467,288,0.319,0.475,0.511,14.5,1.9,3.5,1.5,7.8,0.65,0.32,1.06,4.8,103.2,109.7
Eric Mika,Sac,C,25.18,1,19.1,39.8,8.9,0,2,1,3,0.667,0,0,0.667,0.773,6,7,20.6,0,0,0,0,0,0,170.9,84.8
Eric Paschall,Gol,F,23.35,60,27.6,57.4,21.4,11.3,212,0.774,512,0.549,129,0.287,0.525,0.57,14,4.6,9,2.1,12.7,0.53,0.22,1.57,7.4,109.6,110.8
