FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Thanasis Antetokounmpo,Mil,F,27.65,18,5.2,10.8,23.8,20.5,15,0.467,29,0.655,7,0,0.528,0.528,2.5,1.1,10.1,0.5,13.8,0.33,0.11,0.61,8.6,98.3,90.6
Theo Pinson,Bro,G-F,24.35,33,11.1,23.1,22.3,16.9,16,0.938,75,0.4,80,0.188,0.339,0.37,3.6,1.6,7.6,1.7,21.9,0.52,0.12,1,7.7,80.4,101.5
Thomas Bryant,Was,C-F,22.61,38,23.7,49.4,18.3,12.1,94,0.734,253,0.64,54,0.407,0.635,0.659,12.1,6.8,15.8,1.9,11.9,0.37,0.87,1.26,9.1,125.6,108.8
Thon Maker,Det,F-C,23.04,60,12.9,26.9,16.1,15.7,110,0.664,129,0.55,64,0.344,0.539,0.582,4.7,2.8,12.2,0.7,8,0.42,0.65,0.75,6.5,110.9,101.6
Tim Frazier,Det,G,29.36,27,13.1,27.4,17.3,25.6,24,0.792,64,0.375,30,0.333,0.415,0.464,3.6,1.2,5.3,3.4,36.6,0.52,0.11,1.33,7.5,99.2,104.8
Tim Hardaway Jr.,Dal,G,27.99,63,28.8,60,21.7,6.6,151,0.801,337,0.478,455,0.407,0.554,0.581,15.8,3.1,5.7,2,10.2,0.65,0.08,0.97,6.4,115.6,109.3
Timothe Luwawu-Cabarrot,Bro,G-F,24.84,39,17.2,35.8,15.7,12.7,62,0.839,83,0.47,109,0.358,0.508,0.563,6.3,2.3,7,0.6,5.3,0.38,0.13,0.82,4.8,107.2,100.8
TJ Leaf,Ind,F,22.87,25,7.7,16.1,18.5,8.6,12,0.583,55,0.455,14,0.357,0.471,0.485,2.9,2.5,18,0.2,4.3,0.32,0.12,0.28,5.9,103.3,99.3
Tobias Harris,Phi,F,27.66,65,34.5,71.9,23.6,7.9,191,0.806,723,0.521,323,0.362,0.528,0.557,19.4,6.8,10.8,3.2,14.6,0.74,0.54,1.49,8.7,111.6,105.3
Tomas Satoransky,Chi,G,28.37,65,28.9,60.2,16.7,17.7,121,0.876,352,0.491,199,0.322,0.488,0.533,9.9,3.9,7.5,5.4,27.1,1.23,0.11,2,8.2,110.3,108
Tony Bradley,Uta,C-F,22.09,50,10.7,22.3,16,11.8,40,0.65,154,0.662,1,1,0.668,0.675,4.7,4.3,22.1,0.3,4.9,0.24,0.5,0.46,6.8,134.8,90.2
Tony Snell,Det,G,28.34,59,27.8,57.9,11.4,7.3,32,1,128,0.531,254,0.402,0.579,0.598,8,1.9,3.8,2.2,10.9,0.54,0.25,0.53,4.6,121.4,112.4
Torrey Craig,Den,F,29.23,50,17.4,36.2,12.2,9,31,0.645,99,0.606,109,0.33,0.548,0.559,5,3.1,10,0.7,5.2,0.36,0.64,0.44,5.1,114.1,100.5
Trae Young,Atl,G,21.48,60,35.3,73.6,34.9,16.2,559,0.86,681,0.501,568,0.361,0.519,0.595,29.6,4.2,6.4,9.3,45.6,1.08,0.13,4.8,11.9,113.4,115.2
Tremont Waters,Bos,G,22.17,10,8.9,18.5,22.9,21,6,1,18,0.5,17,0.176,0.386,0.438,3.3,0.9,5.4,1.2,18.8,0.5,0.2,1,6.9,82.9,97.5
Treveon Graham,Min,G-F,26.37,33,20.1,41.9,13.1,9,37,0.73,93,0.452,83,0.241,0.409,0.445,5.2,3.1,8,0.9,6.1,0.52,0.06,0.58,4.9,96.3,107.4
Treveon Graham,Atl,G-F,26.37,22,12.1,25.2,13.3,11.7,19,0.474,30,0.4,37,0.351,0.47,0.478,3.3,2.3,10.1,0.7,7.6,0.32,0.18,0.45,5.8,102.8,106.2
Trevor Ariza,Sac,F,34.7,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.4,1.09,0.25,0.88,5.7,107.4,105.5
Trevor Ariza,Por,F,34.7,21,33.4,69.6,12.6,13.5,47,0.872,74,0.595,85,0.4,0.597,0.643,11,4.8,7.4,2,7.7,1.62,0.38,1.33,5.7,120.7,110.5
Trey Burke,Phi,G,27.33,25,13.1,27.4,19.3,8.2,18,0.722,89,0.483,38,0.421,0.528,0.545,5.9,1.4,5.7,2.1,24.2,0.28,0.04,0.48,7.9,117.8,108.2
Trey Lyles,San,F,24.35,63,20.2,42,13.7,9.7,45,0.733,175,0.503,168,0.387,0.541,0.557,6.4,5.7,15.3,1.1,7.3,0.44,0.44,0.62,6.8,112.8,107.2
Tristan Thompson,Cle,C-F,29,57,30.2,62.9,18.3,14,161,0.615,538,0.519,23,0.391,0.521,0.541,12,10.1,18.6,2.1,10.5,0.56,0.88,1.81,8.4,110.7,109.5
Troy Brown Jr.,Was,G-F,20.62,61,24.9,51.9,17,10.5,114,0.754,361,0.496,145,0.345,0.502,0.534,9.7,5.3,11.7,2.3,13,1.23,0.1,1.07,7.9,109.3,110.2
Troy Daniels,Lal,G,28.66,41,11.1,23.2,16.1,5.2,16,0.625,46,0.478,112,0.357,0.519,0.527,4.2,1.1,5.5,0.3,4.1,0.2,0.07,0.22,4,107.7,106
