FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Michael Carter-Williams,Orl,G,27.68,5,18.5,38.5,20.4,18.8,8,0.875,23,0.435,8,0.25,0.419,0.478,6.6,4,11.8,2.4,24,0.6,0,1.6,8.6,93,96.2
Mike Scott,Phi,F,30.91,10,19.3,40.2,12,12.8,2,1,13,0.692,34,0.353,0.574,0.585,5.6,3.4,9.5,0.5,3.6,0.3,0,0.7,4.4,106.1,101.6
Monte Morris,Den,G,23.97,14,16,33.4,19.4,6.1,13,0.692,73,0.452,13,0,0.384,0.409,5.4,1.4,4.4,2.6,24.3,0.36,0.07,0.43,6.7,99.1,108.5
Montrezl Harrell,Lac,F-C,25.38,6,26.3,54.8,21.5,9.7,26,0.692,62,0.742,1,0,0.73,0.739,18.3,5.5,11.7,2.2,15.3,0.5,0.67,1.33,9.2,138.4,103.7
Myles Turner,Ind,F-C,23.22,4,31.5,65.6,15.9,6.9,13,0.615,21,0.524,14,0.214,0.443,0.479,9.8,6.3,10.8,1.5,8.1,0,1.75,0.75,5.7,101.9,99.6
Nene,Hou,C-F,36.75,7,7.5,15.7,14.1,17.7,9,0.778,10,1,0,0,1,0.967,3.9,2,14.9,0.4,9.8,0.43,0.29,0.43,7.8,169.4,99.8
Nerlens Noel,Okc,F-C,25.18,5,12.1,25.1,18.3,19.3,2,0,20,0.6,0,0,0.6,0.575,4.8,3.8,17.1,0,0,0.4,0.6,1,0,104.2,96
Nikola Jokic,Den,C,24.32,14,39.8,82.8,26.5,10.9,78,0.846,205,0.537,56,0.393,0.548,0.596,25.1,13,17.2,8.4,37.2,1.07,0.93,2.57,14.1,126.1,100.2
Nikola Mirotic,Mil,F,28.34,14,21.3,44.3,20.6,9.8,28,0.821,41,0.537,76,0.289,0.47,0.514,9.5,4.3,10.1,0.7,5,0.71,0.21,1,5.7,102.7,99.6
Nikola Vucevic,Orl,C,28.64,5,29.5,61.4,23.2,16.8,14,0.786,45,0.4,13,0.231,0.388,0.436,11.2,8,14.8,3,19.3,0.4,1,2.6,8.8,88.6,102.4
Norman Powell,Tor,F-G,26.06,23,15.9,33.2,18.1,8.2,19,0.737,64,0.5,62,0.387,0.54,0.558,6.5,2.2,7.7,1.1,11.4,0.39,0,0.52,6.3,110,102.5
Pascal Siakam,Tor,F,25.2,24,37.1,77.4,23,7.3,87,0.759,279,0.541,104,0.279,0.508,0.54,19,7.1,10.5,2.8,12.9,1.04,0.71,1.38,7.8,110.2,102.7
Pat Connaughton,Mil,G,26.44,15,21.6,45,11.7,9,8,0.5,35,0.629,42,0.357,0.578,0.577,6.2,6.2,14.4,1.4,9.2,0.33,0.87,0.53,7,116.7,102.1
Patrick Beverley,Lac,G,30.92,6,32.4,67.5,12.8,16.5,8,0.75,17,0.412,30,0.433,0.564,0.584,9.8,8,13.8,4.7,19.8,1,0.83,1.67,8.9,118.2,102.3
Patrick McCaw,Tor,G,23.64,11,4.4,9.2,6.4,14.5,2,1,2,0,3,0.333,0.3,0.425,0.5,0.3,3.4,0.4,10.9,0.18,0,0.09,3.6,112.5,104.9
Patty Mills,San,G,30.84,7,21.8,45.3,15.3,6,10,0.6,21,0.524,22,0.136,0.36,0.39,5.3,2.1,5.3,3.6,22.5,1,0.14,0.43,6.3,98.7,107.9
Paul George,Okc,F,29.12,5,40.8,85,29.9,14,49,0.816,54,0.537,47,0.319,0.51,0.583,28.6,8.6,11.4,3.6,15.4,1.4,0.2,4,9.4,110.1,99.6
Paul Millsap,Den,F,34.34,14,33.5,69.8,19.2,8.9,61,0.77,119,0.513,38,0.316,0.503,0.558,14.6,6.7,10.5,0.8,3.6,0.86,1.07,1.29,5.1,111.4,102
PJ Tucker,Hou,F,34.11,11,38.7,80.6,11,7.5,23,0.826,31,0.452,57,0.456,0.602,0.637,11.4,7.5,10.9,1.7,6.6,1.73,0.73,0.73,5.4,133.1,104.4
Quincy Pondexter,San,F,31.26,5,2.4,5,7.7,0,0,0,1,0,1,0,0,0,0,0.2,4.5,0.4,20.1,0.2,0,0,0,,
Quinn Cook,Gol,G,26.23,17,11.4,23.7,17.5,7.7,4,1,36,0.472,34,0.324,0.479,0.495,4.2,1.1,5.4,0.7,8.8,0.18,0.06,0.35,5.2,99.4,110.2
Raul Neto,Uta,G,27.07,3,6.5,13.6,13,0,0,0,5,0.2,1,0,0.167,0.167,0.7,1,8,0.3,7.6,0,0,0,3.7,48.3,100.5
Raymond Felton,Okc,G,34.97,5,11.4,23.7,11.9,12.6,2,0.5,5,0.4,8,0.25,0.385,0.396,2.2,0.6,2.9,0.6,7.4,0.8,0.2,0.4,3.2,82.2,98.6
Reggie Jackson,Det,G,29.16,4,27,56.1,28.4,6.8,7,0.857,44,0.432,21,0.429,0.5,0.521,17.8,3.3,6.1,7,49.8,0.75,0,1.25,11,119.1,102.9
Ricky Rubio,Uta,G,28.65,5,33.5,69.8,22.8,16.7,20,0.85,46,0.522,20,0.2,0.455,0.515,15.4,3.2,5,8.6,46.4,2.4,0.2,3,9,108.5,99.7
Robert Williams III,Bos,C-F,21.66,3,4.2,8.8,9.9,0,2,1,2,0.5,0,0,0.5,0.694,1.3,2.3,28.1,0,0,0,0,0,0,159,95.6
Rodions Kurucs,Bro,F,21.35,4,17.1,35.6,15.4,7.7,9,0.778,12,0.5,8,0.25,0.45,0.522,6.3,5,15,0.8,6.4,0.5,0,0.5,6.9,115,96.2
Rodney Hood,Por,G,26.65,16,23.3,48.6,16,5.1,44,0.818,60,0.567,51,0.353,0.55,0.606,9.9,2.3,5.1,0.9,5.7,0.38,0.19,0.44,4.7,126.4,108.9
Rondae Hollis-Jefferson,Bro,F,24.44,4,15.6,32.6,30.5,6.4,25,0.8,32,0.469,1,1,0.5,0.602,13.3,3,9.9,1.5,17.6,0.25,1.25,0.75,10,125.1,102
Royce O'Neale,Uta,F,26.03,5,27.4,57.2,17.6,17.6,4,0.75,22,0.591,23,0.348,0.556,0.567,10.6,4.6,8.8,1.6,10.3,0.4,0.4,2,6.2,97.3,98.8
Rudy Gay,San,F,32.83,7,25.5,53.1,22.7,11.4,17,0.824,51,0.392,19,0.421,0.457,0.503,11.1,7.1,15.1,1.7,10.1,0.43,0.71,1.43,8,103.7,105.3
Rudy Gobert,Uta,C,26.97,5,30.4,63.3,14.3,17.6,23,0.783,32,0.594,0,0,0.594,0.665,11.2,10.2,17.6,1.4,7.7,0.6,2.6,1.8,7.1,129.3,97.9
Russell Westbrook,Okc,G,30.58,5,39.4,82.2,31.5,15.8,26,0.885,77,0.377,34,0.324,0.41,0.466,22.8,8.8,12.1,10.6,46,1,0.6,4.6,13.1,100.4,100.7
Semi Ojeleye,Bos,F,24.52,6,5.8,12,13.8,9.2,2,1,4,0.25,5,0.6,0.611,0.658,2.2,0.3,3,0.3,9.2,0,0,0.17,4,127.9,101.3
Serge Ibaka,Tor,F-C,29.74,24,20.8,43.4,21.4,10.6,42,0.762,155,0.535,38,0.237,0.5,0.532,9.4,6,15.8,0.9,7.4,0.46,0.96,1.04,7.1,105.5,91.9
Seth Curry,Por,G,28.81,16,20.4,42.5,12.5,7.5,11,0.818,30,0.3,52,0.404,0.494,0.518,5.6,1.6,4.1,0.8,5.7,0.75,0.25,0.44,3.8,108.6,107.1
Shabazz Napier,Bro,G,27.92,3,9.4,19.7,20.8,0,8,0.875,6,0.667,5,0.6,0.773,0.826,8,2.3,12.7,3.7,70.3,0.33,0,0,17.4,188.2,108.1
Shai Gilgeous-Alexander,Lac,G,20.92,6,28.8,59.9,17.6,6.8,20,0.85,42,0.452,18,0.5,0.542,0.596,13.7,2.7,5.2,3.2,16.5,1,0.83,0.83,6.8,124.6,106.9
Shaun Livingston,Gol,G,33.76,22,14.6,30.5,12.7,8.5,25,0.84,73,0.466,2,0,0.453,0.517,4,1.4,5.5,1.4,13,0.45,0.18,0.36,5.4,115.7,105.2
Sindarius Thornwell,Lac,G,24.58,4,3,6.1,20.9,0,0,0,3,0.333,3,0.333,0.417,0.417,1.3,1,18.9,0,0,0.25,0,0,0,,
Skal Labissiere,Por,F,23.24,3,3.5,7.3,18.3,0,1,0,2,0.5,2,0,0.25,0.225,0.7,0,0,0,0,0,0,0,0,,
Spencer Dinwiddie,Bro,G,26.19,5,26.3,54.8,23.5,10.5,14,0.714,38,0.474,24,0.375,0.508,0.536,14.6,2.6,5.1,1.6,10.2,0.4,0,1.6,6,103.4,108.1
Stephen Curry,Gol,G,31.25,22,38.4,80.1,29,11.7,157,0.943,187,0.524,244,0.377,0.548,0.62,28.2,6,9,5.7,23.9,1.09,0.18,3,10.3,119.5,106.4
Sterling Brown,Mil,G,24.34,11,14.7,30.7,13.5,15.7,11,0.727,17,0.471,21,0.333,0.487,0.525,4.1,2.7,9.3,1.7,16.2,0.55,0.27,0.73,7.2,107.5,96.7
Steven Adams,Okc,C,25.9,5,31.8,66.3,14.6,16.5,8,0.375,41,0.683,1,0,0.667,0.648,11.8,7.2,12.3,1.4,7.2,1,1,1.8,6.2,115.6,102.7
T.J. McConnell,Phi,G,27.22,9,8.3,17.3,15.8,3.6,0,0,27,0.444,0,0,0.444,0.444,2.7,0.7,4.3,1.2,22.3,0.22,0.11,0.11,6.3,106.4,109.4
Terrance Ferguson,Okc,G,21.08,5,25.6,53.4,10,16.7,0,0,7,0.286,18,0.389,0.5,0.5,5,2.4,5.1,1.2,6.5,0.4,0,1,3.8,95.8,98.7
Terrence Ross,Orl,G-F,28.35,5,29.2,60.8,21.7,14,17,0.824,19,0.421,35,0.343,0.481,0.537,13.2,3.6,6.7,1.4,9,1.2,0.4,2,5.6,97.8,104.4
Terry Rozier,Bos,G,25.24,9,18,37.4,20.6,13.2,16,0.75,25,0.44,34,0.235,0.39,0.439,6.4,4.3,12.3,1.9,16.8,0.44,0.22,1.11,8.3,91.5,100
Thabo Sefolosha,Uta,F,35.12,4,10.5,21.9,15.2,6.7,0,0,6,0.167,8,0.125,0.179,0.179,1.3,2,10,0.5,7.1,0,0,0.25,4.2,50.1,103.4
Thaddeus Young,Ind,F,30.98,4,32.6,67.9,17.6,10,7,0.571,34,0.471,8,0.25,0.452,0.466,10.5,7,11.7,3.8,20.5,2.75,0.75,1.25,8,104.9,99.1
Theo Pinson,Bro,G-F,23.61,3,7.3,15.2,16.7,11.1,0,0,1,0,7,0.429,0.563,0.563,3,1,7,1,20.7,0.67,0,0.33,7.9,113.8,109.8
Thon Maker,Det,F,22.3,4,17.2,35.7,20.1,9.1,9,0.889,14,0.5,12,0,0.269,0.367,5.5,2.3,6.6,1,8.6,0,1,0.75,5.4,85.7,94.3
Tim Frazier,Mil,G,28.62,11,3.6,7.5,18.2,17.8,2,1,7,0.714,6,0.5,0.731,0.756,1.9,0.8,11.3,0.9,40.7,0.18,0,0.27,12.3,,
TJ Leaf,Ind,F,22.12,1,9.8,20.4,18.2,0,2,1,2,0,1,0,0,0.258,2,3,16.7,0,0,0,0,0,0,77.5,110.9
Tobias Harris,Phi,F,26.91,12,36.9,76.9,18.7,9.7,26,0.846,103,0.476,63,0.349,0.494,0.524,15.5,9.1,13.3,4,16.4,1.08,0.5,1.58,9,108.7,103.9
Tony Snell,Mil,G,27.59,9,3.2,6.6,9.1,0,0,0,4,0.25,2,0.5,0.417,0.417,0.6,0.2,3.5,0,0,0.11,0.11,0,0,,
Torrey Craig,Den,F,28.49,14,23.6,49.2,11,7.3,16,0.563,33,0.485,36,0.472,0.601,0.605,6.6,5.1,11.4,0.9,5.1,0.5,0.36,0.43,5.3,125.8,100.8
Treveon Graham,Bro,F,25.63,5,15.7,32.8,8.1,19.2,6,0.5,3,0.667,7,0,0.2,0.277,1.4,2.2,7.2,0.6,4.9,0.4,0.2,0.6,3.1,69,101.3
Trey Lyles,Den,F,23.61,3,2.7,5.6,11,0,0,0,1,0,1,0,0,0,0,0.3,6.5,0.7,30.6,0,0,0,0,,
Tyreke Evans,Ind,G,29.74,4,21,43.8,32.9,10,14,0.571,28,0.357,20,0.55,0.552,0.563,15.3,4.3,11,0.8,8,0.5,0.25,1.5,7.1,99.7,99
Tyrone Wallace,Lac,G,25.01,2,5.5,11.5,23.6,15.8,3,0.667,4,0.25,0,0,0.25,0.376,2,0.5,5.1,1.5,36.9,0,0,0.5,8.3,88.3,99.7
Wayne Ellington,Det,G,31.54,4,32.8,68.4,12.1,5.3,2,1,13,0.308,22,0.318,0.414,0.432,7.8,3.8,5.7,1.3,5.5,0.75,0,0.5,4.1,96.7,111.6
Wes Iwundu,Orl,F,24.48,5,12,25,17.7,8.3,9,1,9,0.333,9,0.333,0.417,0.546,4.8,1.4,6.4,0.8,11.7,0.6,0,0.4,5.8,112.6,104
Wesley Matthews,Ind,G-F,32.67,4,29.7,61.8,15.2,20.3,3,1,9,0.222,21,0.333,0.417,0.447,7,2.5,4.6,2,10.8,0.75,0.25,2,4.4,80.8,107.4
Will Barton,Den,G,28.44,14,23.4,48.8,21.6,8.2,26,0.692,80,0.4,55,0.273,0.404,0.434,9.1,4.8,10.7,1.7,11,0.29,0.64,0.93,7.2,95.3,107.5
Wilson Chandler,Lac,F,32.1,4,13.1,27.3,16.3,14.5,4,1,6,0.667,10,0.1,0.344,0.422,3.8,1.5,6.4,0.5,5.2,0.5,0,0.75,4.3,80.4,101.9
Zach Collins,Por,F-C,21.57,16,17.2,35.8,17.7,17.9,25,0.8,60,0.567,21,0.333,0.549,0.592,6.8,3.6,11,0.9,7.9,0.44,1.38,1.25,6.5,108.3,92.7
Zaza Pachulia,Det,C,35.34,2,10.9,22.6,15.2,12.7,2,0.5,6,0.333,0,0,0.333,0.363,2.5,4.5,20.8,0,0,0,0,0.5,0,74.1,94.1
Zhaire Smith,Phi,G,20.03,2,2.8,5.7,0,,0,0,0,0,0,0,,,0,0,0,0,0,0.5,0,0,0,,
